"hf_ng","area_size","area_size_s","log_hf_ng","epg","epg_s","age","sex","density","density_s","log_area","log_area_s","authority","self_drive","session","region","campaign","ndvi_1m","ndvi_1m_s","site"
516.482,360,-0.244685299537448,6.24704043800082,75,-1.15301093935824,"A","F",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north1","north","1",0.1965,-0.76439604892565,"Site 13"
310.057989,360,-0.244685299537448,5.73675934127573,100,-1.13581627079411,"A","M",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north1","north","1",0.1965,-0.76439604892565,"Site 13"
449.872884,360,-0.244685299537448,6.10896506285938,100,-1.13581627079411,"A","M",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north1","north","1",0.1965,-0.76439604892565,"Site 13"
112.759986,360,-0.244685299537448,4.7252615420884,225,-1.04984292797345,"A","M",0.361111111,-0.747050659855493,5.88610403145016,0.29403375540074,"Private","prohibited","north1","north","1",0.1965,-0.76439604892565,"Site 13"
280.424751,500,-0.220140809683126,5.63630542159294,550,-0.826312236639729,"A","M",0.046,-1.18815485806072,6.21460809842219,0.519192191856729,"Private","prohibited","north1","north","1",0.207,-0.610498982713154,"Site 9"
397.970074,500,-0.220140809683126,5.98637681150268,2400,0.446093237106055,"A","M",0.046,-1.18815485806072,6.21460809842219,0.519192191856729,"Private","prohibited","north1","north","1",0.207,-0.610498982713154,"Site 9"
465.673572,500,-0.220140809683126,6.14348489939802,1000,-0.516808202485349,"A","M",0.046,-1.18815485806072,6.21460809842219,0.519192191856729,"Private","prohibited","north1","north","1",0.207,-0.610498982713154,"Site 9"
270.973749,22923.85,3.71115889617276,5.6020219490291,2250,0.342925225721262,"A","F",1.438858307,0.761619761986622,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north1","north","1",0.196857142857143,-0.759161454836788,"Site 19"
215.116571,22923.85,3.71115889617276,5.37118007189307,3100,0.927543956901758,"A","F",1.438858307,0.761619761986622,10.0399331322895,3.14109033607316,"NonPrivate","prohibited","north1","north","1",0.196857142857143,-0.759161454836788,"Site 19"
282.951816,130,-0.285008390012404,5.64527662166301,200,-1.06703759653758,"A","M",0.361538462,-0.746452438105682,4.86753445045558,-0.40409925827027,"Private","prohibited","north1","north","1",0.187,-0.903636251689338,"Site 11"
374.149002,130,-0.285008390012404,5.92465411914342,225,-1.04984292797345,"SA","M",0.361538462,-0.746452438105682,4.86753445045558,-0.40409925827027,"Private","prohibited","north1","north","1",0.187,-0.903636251689338,"Site 11"
260.086827,130,-0.285008390012404,5.56101552526664,225,-1.04984292797345,"A","M",0.361538462,-0.746452438105682,4.86753445045558,-0.40409925827027,"Private","prohibited","north1","north","1",0.187,-0.903636251689338,"Site 11"
373.876934,120,-0.286761567859141,5.92392668978862,1825,0.0506158601310144,"A","M",0.108333333,-1.10089835102367,4.78749174278205,-0.458960956256528,"Private","prohibited","north1","north","1",0.246666666666667,-0.0291100659103839,"Site 16"
